Date,Open,High,Low,Close,Volume,Adj Close
2011-03-22,1075.1,1080.0,1063.0,1069.5,1328800,994.802
2011-03-23,1071.0,1071.0,1057.25,1064.35,2176100,990.0110000000001
2011-03-24,1071.0,1095.55,1070.0,1093.4,1547400,1017.0319999999999
2011-03-25,1116.85,1128.5,1103.75,1119.65,2073200,1041.4489999999998
2011-03-28,1123.85,1126.7,1108.0,1119.9,1124300,1041.682
2011-03-29,1120.0,1151.9,1119.15,1138.7,1579700,1059.1680000000001
2011-03-30,1148.0,1164.0,1144.9,1151.95,1147300,1071.493
2011-03-31,1152.0,1198.0,1152.0,1183.9,3697000,1101.211
2011-04-01,1185.0,1198.75,1172.55,1180.15,899800,1097.723
2011-04-04,1185.0,1216.0,1184.0,1213.2,1155800,1128.465
2011-04-05,1215.05,1243.95,1203.75,1239.85,1445500,1153.254
2011-04-06,1239.0,1246.95,1214.15,1221.85,1211100,1136.511
2011-04-07,1220.0,1220.0,1195.15,1199.2,1074500,1115.443
2011-04-08,1196.9,1214.0,1184.75,1196.0,991800,1112.4660000000001
2011-04-11,1180.15,1195.0,1175.3,1178.4,1128100,1096.096
2011-04-12,1178.7,1178.7,1178.7,1178.7,0,1096.375
2011-04-13,1175.0,1221.4,1174.3,1210.1,1878700,1125.5819999999999
2011-04-14,1203.6,1203.6,1203.6,1203.6,0,1119.536
2011-04-15,1216.9,1219.9,1180.0,1191.4,3783300,1108.188
2011-04-18,1198.0,1212.5,1140.05,1144.6,3882700,1064.656
2011-04-19,1144.6,1169.4,1140.0,1164.7,1560100,1083.3519999999999
2011-04-20,1179.8,1224.0,1179.55,1218.7,2669200,1133.5810000000001
2011-04-21,1241.0,1245.8,1170.85,1192.1,8666900,1108.839
2011-04-22,1185.15,1185.15,1185.15,1185.15,0,1102.374
2011-04-25,1197.0,1204.0,1172.65,1197.85,2095700,1114.187
2011-04-26,1200.0,1202.0,1180.35,1189.0,1577600,1105.955
2011-04-27,1194.95,1194.95,1176.05,1180.6,887200,1098.142
2011-04-28,1180.15,1183.5,1155.6,1158.65,1423000,1077.725
2011-04-29,1172.0,1172.0,1150.25,1165.65,933300,1084.236
2011-05-02,1170.0,1177.5,1152.5,1158.45,771500,1077.539
2011-05-03,1162.0,1162.0,1131.0,1138.45,1060000,1058.9360000000001
2011-05-04,1146.0,1146.0,1115.15,1137.05,1361400,1057.634
2011-05-05,1145.0,1145.0,1108.1,1115.0,942700,1037.124
2011-05-06,1120.0,1153.5,1119.75,1148.95,1202600,1068.702
2011-05-09,1150.0,1151.95,1124.5,1135.55,506100,1056.238
2011-05-10,1133.0,1159.95,1128.0,1139.9,764500,1060.285
2011-05-11,1139.0,1151.7,1126.1,1140.25,730300,1060.61
2011-05-12,1133.9,1133.9,1108.35,1111.75,1270200,1034.101
2011-05-13,1112.0,1142.3,1112.0,1127.1,1182700,1048.379
2011-05-16,1121.0,1147.4,1120.0,1131.1,1113600,1052.099
2011-05-17,1122.05,1149.2,1122.05,1141.7,695700,1061.9589999999998
2011-05-18,1142.25,1161.5,1142.25,1155.05,1112500,1074.377
2011-05-19,1165.0,1170.0,1156.0,1164.85,1025400,1083.492
2011-05-20,1173.75,1183.4,1163.25,1175.0,1025300,1092.933
2011-05-23,1164.0,1170.5,1150.0,1166.55,1008600,1085.073
2011-05-24,1162.65,1172.8,1139.15,1149.9,840900,1069.586
2011-05-25,1149.1,1149.9,1120.0,1128.6,933700,1049.774
2011-05-26,1139.0,1143.0,1120.0,1135.75,1030100,1056.424
2011-05-27,1148.55,1149.9,1136.3,1144.55,643300,1064.61
2011-05-30,1151.0,1159.95,1142.3,1151.95,570400,1071.493
2011-05-31,1155.0,1177.7,1150.1,1157.15,1322000,1076.33
2011-06-01,1157.0,1177.0,1157.0,1175.4,491100,1093.305
2011-06-02,1158.9,1172.0,1156.65,1167.75,848800,1086.1889999999999
2011-06-03,1166.0,1175.0,1150.0,1152.1,683900,1071.632
2011-06-06,1140.0,1168.0,1140.0,1164.35,678500,1083.027
2011-06-07,1163.0,1183.15,1158.0,1179.3,918700,1096.933
2011-06-08,1171.9,1185.0,1163.5,1181.4,1063800,1106.392
2011-06-09,1175.0,1193.8,1175.0,1186.35,1346900,1111.027
2011-06-10,1186.55,1197.5,1185.1,1189.2,1887200,1113.6960000000001
2011-06-13,1189.2,1190.5,1172.55,1175.3,1614700,1100.6789999999999
2011-06-14,1178.0,1194.9,1178.0,1191.05,1062800,1115.4289999999999
2011-06-15,1186.0,1205.0,1181.25,1184.25,1406100,1109.0610000000001
2011-06-16,1183.0,1185.9,1148.25,1151.15,1168700,1078.062
2011-06-17,1155.0,1157.0,1104.0,1109.2,1894000,1038.776
2011-06-20,1115.0,1119.0,1058.0,1069.3,2655200,1001.409
2011-06-21,1075.0,1110.7,1063.2,1106.75,1712900,1036.481
2011-06-22,1116.0,1116.9,1080.0,1083.5,1785400,1014.707
2011-06-23,1081.8,1101.0,1070.1,1097.0,1214100,1027.35
2011-06-24,1100.0,1140.75,1099.0,1137.75,2075700,1065.513
2011-06-27,1122.0,1154.7,1122.0,1150.6,1562600,1077.547
2011-06-28,1160.0,1162.0,1135.65,1154.0,1066600,1080.731
2011-06-29,1154.7,1178.9,1154.7,1169.85,1479300,1095.575
2011-06-30,1169.8,1192.0,1167.0,1184.2,2586400,1109.014
2011-07-01,1198.0,1198.0,1179.7,1191.9,960400,1116.225
2011-07-04,1193.0,1200.0,1180.0,1185.7,801800,1110.4180000000001
2011-07-05,1189.8,1191.0,1173.4,1179.45,1030500,1104.565
2011-07-06,1178.25,1192.9,1171.7,1182.8,745000,1107.703
2011-07-07,1183.1,1200.0,1183.1,1195.9,1301300,1119.971
2011-07-08,1196.0,1205.0,1169.25,1171.65,1706000,1097.261
2011-07-11,1170.0,1177.8,1146.6,1156.65,911200,1083.213
2011-07-12,1135.7,1148.8,1112.1,1145.35,2039700,1072.63
2011-07-13,1150.0,1168.0,1131.0,1149.05,1976300,1076.096
2011-07-14,1150.0,1158.6,1119.1,1123.7,3468900,1052.355
2011-07-15,1168.0,1177.9,1141.1,1146.05,3639800,1073.286
2011-07-18,1148.0,1152.0,1122.3,1125.05,1562600,1053.619
2011-07-19,1121.6,1148.15,1120.25,1140.05,1097600,1067.667
2011-07-20,1150.0,1151.8,1125.0,1132.45,1403800,1060.549
2011-07-21,1132.0,1132.5,1120.05,1122.55,925300,1051.278
2011-07-22,1126.75,1141.3,1126.5,1133.4,1045200,1061.4389999999999
2011-07-25,1135.0,1144.0,1123.15,1139.9,2370300,1067.526
2011-07-26,1139.8,1151.95,1127.25,1144.65,1984300,1071.975
2011-07-27,1148.95,1154.65,1138.15,1147.15,1012100,1074.316
